subgroup,date,approval,disapproval
Voters,2021-02-15,53.945862,39.001729
Voters,2021-02-18,50.674405,41.688217
Voters,2021-02-15,59.945862,34.001729
Voters,2021-02-16,56.329668,39.232299
Voters,2021-02-16,52.736315,41.268878
Voters,2021-02-17,52.736315,42.268878
Voters,2021-02-18,51.736315,43.268878
Voters,2021-02-20,57.354892,35.790093
Voters,2021-02-21,52.736315,43.268878
Voters,2021-02-20,54.774918,38.757176
Voters,2021-02-21,56.624345,41.319292
Voters,2021-02-22,52.736315,42.268878
Voters,2021-02-23,51.154754,38.133759
Voters,2021-02-22,52.329668,39.232299
Voters,2021-02-22,55.945862,37.001729
Voters,2021-02-23,51.736315,43.268878
Voters,2021-02-24,52.736315,42.268878
Voters,2021-02-25,51.736315,43.268878
Voters,2021-02-24,54.713892,42.262693
Voters,2021-02-25,56.713892,40.262693
Voters,2021-02-26,53.713892,43.262693
Voters,2021-02-28,51.736315,42.268878
Voters,2021-02-28,53.688729,39.685273
Voters,2021-02-27,52.774918,41.757176
Voters,2021-02-27,55.123028,35.818327
Voters,2021-03-01,50.90104,42.858186
Voters,2021-03-01,52.736315,42.268878
Voters,2021-02-27,48.839101,42.205288
Voters,2021-03-01,52.644461,40.501791
Voters,2021-03-01,54.945862,38.001729
Voters,2021-03-02,53.329668,41.232299
Voters,2021-03-02,52.736315,41.268878
Voters,2021-03-03,51.736315,42.268878
Voters,2021-03-07,52.404541,39.924288
Voters,2021-03-04,51.736315,43.268878
Voters,2021-03-07,51.736315,43.268878
Voters,2021-03-06,51.774918,40.757176
Voters,2021-03-08,50.798001,42.821369
Voters,2021-03-08,49.071613,42.444089
Voters,2021-03-08,52.736315,42.268878
Voters,2021-03-08,53.713892,43.262693
Voters,2021-03-08,56.945862,38.001729
Voters,2021-03-09,53.329668,40.232299
Voters,2021-03-09,52.736315,42.268878
Voters,2021-03-10,52.736315,41.268878
Voters,2021-03-11,53.736315,41.268878
Voters,2021-03-14,54.736315,40.268878
Voters,2021-03-13,55.774918,38.757176
